區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
大里區,36,135,9,有,850,0.116978256
西區,35,218.01,9,無,1800,0.029610857
北屯區,0,155.94,7,有,794,0.444214939
北屯區,6,342.5,11,無,2650,0.112040123
南屯區,26,156.22,7,有,956,0.335255998
烏日區,7,159.35,7,有,800,0.5731581
清水區,0,86.02,5,無,455,0.442236868
西區,25,84.58,7,無,438,0.623553583
西屯區,0,144.44,6,有,1280,0.593479405
太平區,26,135.56,7,有,350,0.95715383
太平區,4,214.75,7,有,1300,0.995080408
大里區,1,122.82,4,有,853,0.30259499
南區,9,171.93,7,有,1200,0.857208187
南屯區,13,123.44,7,有,910,0.131083076
北屯區,0,130.39,5,有,828,0.326585085
北屯區,0,166.83,6,有,1571,0.216927381
大甲區,1,164.34,10,無,1330,0.226248966
北屯區,0,138.27,7,有,952,0.556670438
南屯區,0,211.76,7,有,1930,0.499181283
北屯區,0,159.46,7,有,1025,0.950731886
豐原區,18,61.41,6,無,370,0.772771446
北屯區,0,141.91,7,有,868,0.261621513
沙鹿區,1,207.09,13,有,1380,0.014954727
大里區,0,110.35,4,有,806,0.667351702
大甲區,39,121.44,10,無,650,0.631915801
大肚區,0,156.89,10,無,845,0.54809976
大肚區,40,129.8,8,無,740,0.655848611
太平區,41,82.2,7,無,780,0.473059141
西屯區,14,56,3,無,468,0.82934551
大雅區,24,146.32,7,有,648,0.008175242
東區,62,119.02,6,無,844.2,0.250571039
烏日區,4,150.17,7,有,1020,0.790656734
烏日區,0,126.29,6,有,601,0.115170166
西區,22,216.35,7,有,1600,0.414480429
北區,49,157.16,15,無,2750,0.049915332
西區,31,45.71,3,無,225,0.881307859
南區,20,146.32,7,無,858,0.914158555
西屯區,6,268.22,8,有,2188,0.896065581
北屯區,0,170.47,7,有,1149,0.555902598
大雅區,4,139.98,5,有,688,0.974779835
北屯區,0,149.26,7,有,958,0.080696064
太平區,30,108.83,7,無,463,0.190053644
潭子區,0,117,7,無,450,0.306088577
西區,22,94.18,6,有,788,0.697155212
西屯區,5,287.31,8,有,2438,0.515774416
南區,26,123.61,6,有,510,0.747127734
沙鹿區,0,124.46,5,有,600,0.541824094
北屯區,18,360.61,8,有,1310,0.470039748
北屯區,5,142.74,6,有,858,0.399197629
南區,5,213.15,7,有,1490,0.186158011
大甲區,1,71.7,6,無,415,0.209327207
南區,6,240.32,8,有,1595,0.516174731
南區,23,101.32,7,無,460,0.388922086
北屯區,43,103.82,6,無,500,0.360638211
西屯區,12,307.21,10,有,2138,0.732943535
南屯區,0,334.23,10,有,3780,0.1467307
南屯區,1,201.64,8,有,1290,0.327900291
大里區,2,154.49,7,有,950,0.621845315
